"","Protein_Group","Genes","[1] HN1.raw.PG.MS2Channel3","[2] HN2.raw.PG.MS2Channel3","[3] HN3.raw.PG.MS2Channel3","[4] HN4.raw.PG.MS2Channel3","[5] HS1.raw.PG.MS2Channel3","[6] HS3.raw.PG.MS2Channel3","[7] HS4.raw.PG.MS2Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"1","A0A1B0GVG4","CCDC194",NA,NA,NA,NA,1103.327393,585.3366089,1490.106201,-9.9489016174196,4.26381497889412,-14.4734565973441,2.4624643022341e-06,0.000126775200920865,2.66111727220779,"DOWN"
"2","A3KN83","SBNO1",NA,NA,NA,NA,334.0612183,305.9396667,305.5735779,-8.30339391518079,3.55859739222034,-13.9129199445445,3.19106456253102e-06,0.000126775200920865,2.58291250365361,"DOWN"
"3","O00257","CBX4",NA,NA,NA,NA,1375.578003,3111.189697,2905.096191,-11.1784838905847,4.7907788102506,-15.9317225511797,1.30859000767522e-06,0.000126775200920865,2.83415640425878,"DOWN"
"4","O00422","SAP18",NA,NA,NA,NA,946.9581299,620.9113159,625.2109985,-9.48658320773083,4.06567851759893,-14.9860810940962,1.95872934910902e-06,0.000126775200920865,2.72659285934096,"DOWN"
"5","O00483","NDUFA4",NA,NA,NA,NA,571.3814087,636.7459717,437.5460205,-9.08475183632505,3.89346507271073,-14.6619723520466,2.26170442973618e-06,0.000126775200920865,2.68583281699136,"DOWN"
"6","O00506","STK25",NA,NA,NA,NA,1857.386475,1429.344849,1628.750488,-10.6708058454501,4.57320250519291,-16.5799723058017,1.00544996757379e-06,0.000126775200920865,2.89927811752615,"DOWN"
"7","O00541","PES1",NA,NA,NA,NA,370.3656921,383.3019104,439.8535767,-8.63564960762583,3.7009926889825,-14.3094015111233,2.65389334379081e-06,0.000126775200920865,2.63897696856803,"DOWN"
"8","O14521","SDHD",NA,NA,NA,NA,325.7779846,360.7891235,365.8778992,-8.45677613193013,3.62433262797006,-14.1074991731855,2.91329199378433e-06,0.000126775200920865,2.61089048882916,"DOWN"
"9","O15321","TM9SF1",NA,NA,NA,NA,644.6624756,927.3480225,605.437561,-9.47912453832514,4.06248194499649,-15.0141569268132,1.93474680021776e-06,0.000126775200920865,2.7300243137166,"DOWN"
"10","O15379","HDAC3",NA,NA,NA,NA,1491.880493,979.3839111,1425.083374,-10.3196428592084,4.4227040825179,-15.942514861357,1.30275323642763e-06,0.000126775200920865,2.8352943607156,"DOWN"
"11","O15479","MAGEB2",NA,NA,NA,NA,390.8297424,886.1917725,822.8609009,-9.36448074784859,4.01334889193511,-13.9545828158954,3.12912773472446e-06,0.000126775200920865,2.58898013152313,"DOWN"
"12","O15541","RNF113A",NA,NA,NA,NA,3158.706543,1494.602173,2410.703613,-11.1359741729347,4.77256035982915,-16.2527357172934,1.14705968969521e-06,0.000126775200920865,2.8672095081583,"DOWN"
"13","O43390","HNRNPR",NA,NA,NA,NA,1329.412598,1077.907227,1381.642578,-10.2954085545177,4.41231795193614,-16.1637723898898,1.18941663270521e-06,0.000126775200920865,2.85821184586687,"DOWN"
"14","O43395","PRPF3",NA,NA,NA,NA,2769.633057,1242.816895,1445.790771,-10.7383996419385,4.60217127511648,-15.5866591057173,1.5119861377082e-06,0.000126775200920865,2.79674853946633,"DOWN"
"15","O60337","MARCHF6",NA,NA,NA,NA,786.8079834,1258.128662,504.0081787,-9.63335772128058,4.12858188054882,-14.2301363007098,2.75244733745475e-06,0.000126775200920865,2.62806261972986,"DOWN"
"16","O75909","CCNK",NA,NA,NA,NA,1759.116089,1356.187378,1056.487671,-10.4114280669259,4.46204060011109,-15.9632981044306,1.29159683976966e-06,0.000126775200920865,2.83748043740516,"DOWN"
"17","O76021","RSL1D1",NA,NA,NA,NA,843.2153931,704.4216309,849.2910767,-9.63854077236616,4.13080318815693,-15.4852200923588,1.5785001760501e-06,0.000126775200920865,2.78536245093948,"DOWN"
"18","O94953","KDM4B",NA,NA,NA,NA,864.4274292,473.5803223,789.5498047,-9.42483001809246,4.03921286489677,-14.6119639759385,2.3130741625006e-06,0.000126775200920865,2.67935050352475,"DOWN"
"19","O95237","LRAT",NA,NA,NA,NA,2366.441162,1244.113525,1915.243408,-10.7984131806103,4.62789136311869,-16.1072764238782,1.21724440173228e-06,0.000126775200920865,2.85243397305246,"DOWN"
"20","O95409","ZIC2",NA,NA,NA,NA,2859.640137,1868.105103,2072.693115,-11.1227469925006,4.76689156821454,-16.8575561129874,9.00864417924359e-07,0.000126775200920865,2.92526886364811,"DOWN"
