"","Protein_Group","Genes","QH1.Channel1","QH2.Channel1","QH3.Channel1","QH1.Channel3","QH2.Channel3","QH3.Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"1","O75494","SRSF10",1789865.875,885418.9375,2004512,NA,NA,NA,20.4874145116272,10.2437072558136,16.6509902893811,1.06970800168627e-05,0.000193912723529017,-0.472098107788088,"UP"
"2","O76013","KRT36",1098141.375,3749049,4557481,NA,NA,NA,21.3415109486007,10.6707554743003,16.3962617408203,1.15714690983241e-05,0.000193912723529017,-0.479161334300342,"UP"
"3","P02538","KRT6A",28347992,20378282,18392212,NA,NA,NA,24.3899547233418,12.1949773616709,21.8121561124853,2.68744332655972e-06,0.000193912723529017,-0.375599474092729,"UP"
"4","P02768","ALB",2063924.25,3680706.5,1693965.5,NA,NA,NA,21.1601616262402,10.5800808131201,17.4531881861846,8.41426252834061e-06,0.000193912723529017,-0.451703580894273,"UP"
"5","P04259","KRT6B",9154371,18894714,9017268,NA,NA,NA,23.4672560132629,11.7336280066314,20.0478476517455,4.14154123493512e-06,0.000193912723529017,-0.40079664167265,"UP"
"6","P04264","KRT1",54609944,79580888,100682128,NA,NA,NA,26.1779371452176,13.0889685726088,24.3464163903975,1.52805332986635e-06,0.000193912723529017,-0.348194707919752,"UP"
"7","P05089","ARG1",722621.4375,1011623.688,954661.25,NA,NA,NA,19.7585853774271,9.87929268871355,16.3984590850801,1.15635706289347e-05,0.000193912723529017,-0.479099100372584,"UP"
"8","P07477","PRSS1",762813.375,1990638.625,1739325.375,NA,NA,NA,20.3986234608891,10.1993117304445,16.3497657502104,1.17401162183519e-05,0.000193912723529017,-0.480483652715249,"UP"
"9","P08779","KRT16",8189902,6280273,4068012.5,NA,NA,NA,22.5012346810403,11.2506173405202,19.084181469805,5.32970121620642e-06,0.000193912723529017,-0.417435259013875,"UP"
"10","P10412","H1-4",2261092,1083601.875,852607.375,NA,NA,NA,20.2858390994353,10.1429195497177,16.2696911350124,1.20374652388449e-05,0.000193912723529017,-0.482785527306094,"UP"
"11","P13645","KRT10",68498464,49473664,49110120,NA,NA,NA,25.7130809355003,12.8565404677502,23.8975482500372,1.68143997515925e-06,0.000193912723529017,-0.35244466780938,"UP"
"12","P13647","KRT5",10131246,16400874,10420077,NA,NA,NA,23.5174802046817,11.7587401023409,20.5400359334762,3.65750888962565e-06,0.000193912723529017,-0.393142936818585,"UP"
"13","P15924","DSP",509555.5,1521751,1010316.875,NA,NA,NA,19.8141874250045,9.90709371250225,15.6825494904736,1.45144254138486e-05,0.000193912723529017,-0.500667201270102,"UP"
"14","P16401","H1-5",1409159.375,750160.125,1189918.125,NA,NA,NA,20.0418924828066,10.0209462414033,16.4637078958678,1.13319273668147e-05,0.000193912723529017,-0.477261593459839,"UP"
"15","P31944","CASP14",879848.875,752721.6875,856275.625,NA,NA,NA,19.6587914019027,9.82939570095136,16.3739532602964,1.16520226184908e-05,0.000193912723529017,-0.479794474640737,"UP"
"16","P35908","KRT2",19243740,18830644,22648668,NA,NA,NA,24.2657959888955,12.1328979944477,21.8296761501777,2.67639312508934e-06,0.000193912723529017,-0.375378108279487,"UP"
"17","Q02413","DSG1",772542.625,2390944.25,1481408.875,NA,NA,NA,20.4156486566565,10.2078243283282,16.2222224034969,1.22179664324242e-05,0.000193912723529017,-0.484164978522222,"UP"
"18","Q02878","RPL6",1871741.625,674075.875,1007273.438,NA,NA,NA,20.0468432078931,10.0234216039465,16.0169223801087,1.30366826496715e-05,0.000193912723529017,-0.4902618334159,"UP"
"19","Q08170","SRSF4",2609619.25,3218641.25,2025374,NA,NA,NA,21.2943956234166,10.6471978117083,17.9581367419129,7.2737076160265e-06,0.000193912723529017,-0.440154815123812,"UP"
"20","Q08554","DSC1",1045104.625,1584905,1857983.625,NA,NA,NA,20.4721634354165,10.2360817177083,16.9617332572297,9.73456254882642e-06,0.000193912723529017,-0.46387838833573,"UP"
"21","Q13247","SRSF6",1378147.75,629268.375,1015482.5,NA,NA,NA,19.8704512522694,9.93522562613472,16.1469590538632,1.25108039072947e-05,0.000193912723529017,-0.486375202915117,"UP"
"22","Q14789","GOLGB1",613904.375,2237912.5,1306199,NA,NA,NA,20.2127746673261,10.1063873336631,15.7593009376525,1.41583146584346e-05,0.000193912723529017,-0.498224835947281,"UP"
"23","Q7Z6K1","THAP5",2033255.125,5024159,2757006.25,NA,NA,NA,21.5368277127396,10.7684138563698,17.6997879359508,7.8325425976821e-06,0.000193912723529017,-0.445948139429059,"UP"
"24","Q8N1N4","KRT78",572628.375,1344928.625,735036,NA,NA,NA,19.6579329187028,9.8289664593514,15.8354545619496,1.38152036914886e-05,0.000193912723529017,-0.49583369226443,"UP"
"25","Q9P0W8","SPATA7",1950518.5,3275944.75,3544970,NA,NA,NA,21.4320831403036,10.7160415701518,17.9353737797378,7.32099580056863e-06,0.000193912723529017,-0.440655865822038,"UP"
"26","P45880","VDAC2",438511.4063,557838.375,959103.125,NA,NA,NA,19.2343587676849,9.61717938384244,15.5134342288671,1.53374002998096e-05,0.0001970266038514,-0.506166583375288,"UP"
"27","P26373","RPL13",386468.2813,575830.9375,345727.125,NA,NA,NA,18.6981869826775,9.34909349133875,15.2400571380892,1.67883353437396e-05,0.000197884537010833,-0.515413251396837,"UP"
"28","P36578","RPL4",377147,554718.75,384669.875,NA,NA,NA,18.7198119638712,9.3599059819356,15.3283941187126,1.6302309423508e-05,0.000197884537010833,-0.512375803245585,"UP"
"29","Q5T749","KPRP",2061896.25,1077729.25,463224.9063,NA,NA,NA,19.9454873727427,9.97274368637136,15.1707788847539,1.71815915368687e-05,0.000197884537010833,-0.517829362303127,"UP"
"30","Q16658","FSCN1",326293.4688,829073.375,998933.625,NA,NA,NA,19.3023292496163,9.65116462480815,15.0652332506757,1.78019924399776e-05,0.000198195515831751,-0.521568953301946,"UP"
"31","P07305","H1-0",494853.5938,432648,201937.3438,NA,NA,NA,18.4210126788794,9.21050633943968,14.565484528004,2.1127524408855e-05,0.000217735635269478,-0.540289982965978,"UP"
"32","P07355","ANXA2",214205.3438,532069.8125,563070.1875,NA,NA,NA,18.6109527414267,9.30547637071334,14.5916365423403,2.09361085301357e-05,0.000217735635269478,-0.539266813673841,"UP"
"33","Q5D862","FLG2",268663.2813,335297.125,186813.3594,NA,NA,NA,17.9672585730719,8.98362928653597,14.5136903300719,2.15128022871041e-05,0.000217735635269478,-0.542331188661032,"UP"
"34","Q13835","PKP1",362136.2813,451728,2000740.5,NA,NA,NA,19.3944595132732,9.69722975663661,14.0362510089942,2.54878925175308e-05,0.000250381061789861,-0.562117524111517,"UP"
