,Genes,row_mean.QH_H,row_mean.QH_L,row_mean.QHf_H,row_mean.QHf_L,row_mean.QHi_H,row_mean.QHi_L
1,ACTB,21253552,18163364,2911.832601,747500.3333,1938.303223,629791.9583
2,TUBB4B,3374970.167,7230950.833,1354.161011,411560.1771,1049.47345,399740.0105
3,H3C1;H3-3A;H3-4;H3C15,31543.77197,7440458.333,NA,330196.75,NA,311647.5104
4,H4C1,1005523.401,6083604.5,NA,246213.9479,NA,225543.5156
5,H2AC11;H2AC6;H2AC12;H2AC14;H2AJ,1385934.719,20190396.33,NA,297975.1927,NA,244995.3125
6,TUBA1A,2089388.375,7168489.333,NA,145984.5573,NA,162524.9844
7,EEF1A1,2895346.25,3865234.417,1200.041951,107011.1667,NA,136065.9401
8,NEFM,891424.625,1373906.292,NA,125118.888,NA,87686.17188
9,TUBB6,461878.2708,1617622.583,NA,118081.8672,NA,92536.02343
10,TUBB,679723.7396,2562869.667,NA,90716.96095,NA,77059.40886
11,DPYSL2,2093618.25,3291821.917,NA,116859.1745,NA,76663.94792
12,ATP5F1A,317650.4531,2963153.75,NA,81446.49479,NA,79253.15365
13,INA,308050.8073,1628035.667,NA,143324.7214,NA,77858.15886
14,CRMP1,481081.3334,1789190.229,NA,70519.76042,NA,56058.46615
15,PKM,1343611.771,5530726.5,NA,111165.7604,NA,65921.48047
16,HSP90AB1,2227970.042,3109827.917,1388.612589,78101.39713,NA,57782.03776
17,TUBB2A,286402.2579,1588420.646,NA,94425.95574,NA,59217.6276
18,HNRNPA2B1,1547459.042,3282987.25,NA,65683.10026,NA,48706.52083
19,HSPA1A;HSPA1B,2545216.917,2476166.833,1058.814514,68901.35417,NA,45809.96485
20,NEFL,208998.6797,889744.3958,NA,70057.22917,NA,42425.66276
21,TUBB2B,736625.4479,774837.5833,NA,61718.14974,NA,42801.03125
22,RPS27A,303074.8073,2476063.708,3401.68514,61905.47917,1796.872559,42038.95052
23,HSPA8,1453767.708,1345053.958,NA,53982.61719,NA,37949.47005
