"","PG.Genes","row_mean.HN_L","row_mean.HS_L","row_mean.HN_H","row_mean.HS_H"
"1","GATD3B;GATD3A",18915.8125,25071.7083333333,126.7107820225,128.369212786667
"2","UBA6",16576.3544925,13036.5673833333,NA,103.51071549
"3","ESYT2",16165.559815,11021.81413,483.477127075,285.709528566667
"4","UHRF1BP1L",2213.9678345,770.166951466667,42.3350664766667,49.0432230633333
"5","SHTN1",15603.0568825,7367.517741,279.8570353,203.378677385
"6","TMEM223",770.702224725,1826.25048833333,NA,85.9559084633333
"7","TMEM120B",3742.42663575,2336.08740233333,448.7479944725,139.636055
"8","SLC22A23",4004.838806,2121.28881866667,206.01997504,214.44951247
"9","MEX3A",717.66770935,4798.30615233333,NA,NA
"10","ILVBL",8205.3726795,8469.93310533333,210.56756338,470.099100733333
"11","SH3PXD2B",14649.220945,10119.6497406667,319.706638325,113.307701116667
"12","MACROD2",3610.18865975,3407.02726233333,NA,NA
"13","PTPDC1",1134.305343825,816.115305466667,NA,NA
"14","NBAS",3140.675354,5504.75911466667,NA,NA
"15","TYW5",1582.8362425,1519.41381833333,759.510951875,657.2089234
"16","VWA8",1312.94046,2131.1698,NA,NA
"17","CRPPA",1445.3824159,NA,543.996816,NA
"18","GTPBP10",1759.13293475,4362.411865,NA,364.60421755
"19","WDR91",8981.04895,8920.38704433333,NA,NA
"20","DENND11",1123.487945575,766.240041133333,NA,149.55362705
"21","ODAD3",10554.8775236667,6073.24918633333,NA,283.9730072
"22","PSD",736.019673566667,2101.14624033333,NA,NA
"23","PEDS1",1338.1075898,1963.75895166667,NA,NA
"24","TRAPPC13",1594.46209725,1485.00097633333,757.838512375,1877.18662503333
"25","CNOT1",8347.2263185,17406.8242166667,NA,146.512472813333
"26","CCDC88B",11861.3548166667,NA,NA,NA
"27","MAP1LC3B2;MAP1LC3B",297746.50785,139502.445333333,NA,1483.11018866667
"28","PALM3",4520.77435275,773.233459466667,558.280021675,NA
"29","PGP",11404.054442,5586.45345066667,210.05480195,313.942774466667
"30","C5orf51",1949.1958005,2021.23547366667,NA,NA
"31","BTBD17",1285.4845275,2977.300537,NA,414.610534633333
"32","IGLON5",11337.80065825,4093.85083,974.789291275,2597.92740866667
"33","TUBAL3",106670.451165,74250.6744833333,NA,383.585917133333
"34","FBLL1",6976.96370466667,6457.023032,NA,65.8236516266667
"35","SMCHD1",6329.293335,9982.67464066667,NA,502.213882433333
"36","CASTOR2",2158.7325745,1806.60302733333,165.021227503333,271.775203715
"37","UNC119B",7276.5670165,6833.54654966667,828.09677885,885.947896366667
"38","CCDC85C",3421.20648175,2782.585856,NA,86.2632417566667
"39","USP27X",234.4711914,142.72595215,395.8402303,257.860402423333
"40","BTBD11",941.7500609,NA,NA,NA
"41","RTL8C",5708.15649425,4318.680257,444.942363725,467.810353633333
"42","ZSWIM8",1284.20605475,1127.69757086667,NA,NA
"43","ARHGAP32",3230.577934125,750.454213633333,109.7213029925,164.57250595
"44","DISP2",8219.775757,3318.01733366667,307.510746,181.1985168
"45","FAM171A2",17319.609865,4600.740804,NA,103.635860453333
"46","SNRPGP15;SNRPG",4767.13476566667,31229.0911466667,NA,304.8573685
"47","ELAPOR2",1633.44543465,7317.111979,NA,240.1835556
"48","NUDT19",2693.33319075,2645.13159166667,196.89646743,216.957794166667
"49","MIF4GD",1594.5954895,902.639851833333,135.5789084575,638.849538166667
"50","MYO9A",1838.309784,1517.81123866667,NA,548.3141327
"51","RABGAP1L",10652.348144,5834.19791666667,NA,156.2728882
"52","RABGAP1L",10652.348144,5834.19791666667,NA,52.1496582
"53","RABGAP1L",10652.348144,2348.90356466667,NA,156.2728882
"54","RABGAP1L",10652.348144,2348.90356466667,NA,52.1496582
"55","GPR89A;GPR89B",1696.145126325,2764.39632166667,NA,NA
"56","WASH3P;WASH2P",3096.196411,2900.93147766667,NA,174.190846766667
