Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	mzML/FUS-Neurite-NT_1	mzML/FUS-Neurite-NT_2	mzML/FUS-Neurite-NT_3	mzML/FUS-Neurite-NT_4	mzML/FUS-Neurite-NT_5	mzML/FUS-Neurite-NT_6	mzML/FUS-Soma-NT_1	mzML/FUS-Soma-NT_2	mzML/FUS-Soma-NT_3	mzML/FUS-Soma-NT_4	mzML/FUS-Soma-NT_6	mzML/FUS-Neurite-KD_1	mzML/FUS-Neurite-KD_2	mzML/FUS-Neurite-KD_3	mzML/FUS-Neurite-KD_4	mzML/FUS-Neurite-KD_5	mzML/FUS-Neurite-KD_6	mzML/FUS-Soma-KD_1	mzML/FUS-Soma-KD_2	mzML/FUS-Soma-KD_3	mzML/FUS-Soma-KD_4	mzML/FUS-Soma-KD_5	mzML/FUS-Soma-KD_6	mzML/FUS-Soma-NT_5	mzML/HNRNPA1-Neurite-NT_1	mzML/HNRNPA1-Neurite-NT_2	mzML/HNRNPA1-Neurite-NT_3	mzML/HNRNPA1-Neurite-NT_4	mzML/HNRNPA1-Neurite-NT_5	mzML/HNRNPA1-Neurite-NT_6	mzML/HNRNPA1-Soma-NT_1	mzML/HNRNPA1-Soma-NT_2	mzML/HNRNPA1-Soma-NT_3	mzML/HNRNPA1-Soma-NT_4	mzML/HNRNPA1-Soma-NT_5	mzML/HNRNPA1-Soma-NT_6	mzML/HNRNPA1-Neurite-KD_1	mzML/HNRNPA1-Neurite-KD_2	mzML/HNRNPA1-Neurite-KD_3	mzML/HNRNPA1-Neurite-KD_4	mzML/HNRNPA1-Neurite-KD_5	mzML/HNRNPA1-Neurite-KD_6	mzML/HNRNPA1-Soma-KD_1	mzML/HNRNPA1-Soma-KD_2	mzML/HNRNPA1-Soma-KD_3	mzML/HNRNPA1-Soma-KD_4	mzML/HNRNPA1-Soma-KD_5	mzML/HNRNPA1-Soma-KD_6	mzML/TDP43-Neurite-NT_1	mzML/TDP43-Neurite-NT_2	mzML/TDP43-Neurite-NT_3	mzML/TDP43-Neurite-NT_4	mzML/TDP43-Neurite-NT_5	mzML/TDP43-Neurite-NT_6	mzML/TDP43-Soma-NT_1	mzML/TDP43-Soma-NT_2	mzML/TDP43-Soma-NT_3	mzML/TDP43-Soma-NT_4	mzML/TDP43-Soma-NT_5	mzML/TDP43-Soma-NT_6	mzML/TDP43-Neurite-KD_1	mzML/TDP43-Neurite-KD_2	mzML/TDP43-Neurite-KD_3	mzML/TDP43-Neurite-KD_4	mzML/TDP43-Neurite-KD_5	mzML/TDP43-Neurite-KD_6	mzML/TDP43-Soma-KD_1	mzML/TDP43-Soma-KD_2	mzML/TDP43-Soma-KD_3	mzML/TDP43-Soma-KD_4	mzML/TDP43-Soma-KD_5	mzML/TDP43-Soma-KD_6
A0A024RBG1	A0A024RBG1;Q9NZJ9	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	402983	416704	459854	365059	411384	369552	271173	207429	288821	222460	283860	382141	330794	337819	357063	375663	377997	318589	274901	257338	292377	108946	216662	213882	368210	358488	347399	426398	315950	299014	307966	265466	192874	217197	224458	215015	444450	496155	474302	376626	531744	413611	268224	269033	303712	308807	242559	245014	218787	250413	244401	240753	280937	259365	90535	136629	149520	261042			238039	236545	211616	228120	327001	297478	198317	184327	137969	122220	158731	
A0A0U1RR11;A0A0U1RRI6;P0DPI3	P0DPI3;A0A0U1RRI6;A0A0U1RR11	CENL1_HUMAN;CENL2_HUMAN;CENL3_HUMAN	CENPVL1;CENPVL2;CENPVL3	Centromere protein V-like protein 1	567597	594071	509880	408381	406449	457493	7531940	8793340	8085140	7792950	7206970	421013	386635	559060	447830	409940	588198	5794750	7495380	8442260	6880070	3195700	7076600	5857610	478169	525454	455243	543443	489455	456551	5418310	7251370	7657460	6474220	4993900	6082440	924983	1001950	855957	1160670	793821	936573	7287830	6192380	6538110	7858740	6311640	5357840	407145	400237	448784	402232	482564	365066	5943420	5375530	6395530	7001710	5087120	2981790	326590	343538	381437	259616	439867	319261	6620420	6916990	6674430	7507120	6888230	2911430
A0AVF1	A0AVF1	IFT56_HUMAN	IFT56	Intraflagellar transport protein 56						21382.6	28100.3			52522	34422.5										35934.6		51819.5				39349			38650.2	41071.9					49434.2	51681.3	90861.9	36414	45664.5	75505.5	58107	45763	58407.8		58471.4																										
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2790170	2542760	2645110	2263190	2458000	2404030	2005950	1888760	1931390	1877630	1991360	2416750	2206480	2443210	2414940	2351220	2478390	1833470	2066670	1892650	2002540	706219	2047070	1781830	2613300	2406030	2415990	2725370	2594970	2639580	1900920	1916900	1977840	1839270	1832380	1797630	3052110	3072560	2899270	2978550	3058990	3157710	2135890	2139580	2062030	1996960	1915490	2034460	2307190	2485440	2435090	2484550	2454670	2544160	1729530	1523980	1654860	1879950	1884940	820990	2013310	2202700	2170230	2164590	2193690	2219660	1521430	1486470	1375010	1413250	1567800	630890
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	916896	967830	910873	906018	919664	884377	579834	586406	561326	567271	616648	833434	820627	806458	797206	812012	849481	488624	555457	538463	597755	120304	436410	523163	878140	897207	865912	860423	922565	805128	581166	594125	537989	528863	529465	520936	860972	902307	885074	841590	765053	738612	426171	564609	529783	580290	535673	520826	965911	955043	1007650	934993	956400	937222	706191	618402	681896	722598	617705		1013490	919501	993761	946431	944685	927236	659136	724772	625733	676146	701006	
A0JLT2	A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19				95660.5			1060540	737099	1302190		777885							1379580	406340	1047350	1562360		1939200	1813860							861946	2150680	1154870	1635010		1108660	30518.7						2612300	2059750	900896	1802240	847958	651766							387785	266053	254876	247737	210461								269465	255948	297864	319440	325851	
A0JNW5	A0JNW5	BLT3B_HUMAN	BLTP3B	Bridge-like lipid transfer protein family member 3B	185232	196000	174370	234236	173117	241164	96260.1	266379	102700		127434	221632	200567	181963	182192	211813	175994	125209	117449	132453	151036		109304	136716	170041		163540	141251	145683	144616	128482	101584	153793	117198	47487.8	192667	111244	118090	136920	156318	134978	139152		305937			107319	98596.1	128340	212056	143011		195834			261136					294353	222766	254699	293150	199164	315644				167104		
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1620170	1760320	1526400	1702910	1588410	1720970	1445310	1433650	1365950	1330790	1385240	1620120	1475300	1458960	1488110	1580300	1198310	1408290	1192960	1276660	1261410	2924710	1111790	1497140	1646830	1583890	1630650	1463330	1510980	1640860	1445870	1329110	1297210	1354810	1369350	1661550	994212	813524	966726	1099880	1079650	1021120	1360720	1361990	1290050	1368540	1214680	1475530	1867170	1902440	1848410	1889340	1937400	1843350	1726920	2296470	1750430	1747940	1781790	3859660	1837730	1802050	1635110	1885050	1608360	1806920	1409610	1505400	1407810	1205790	1291940	3455220
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	552376	557914	585408			438303	695922	708009	594555		496659	481731	613734	497629	504838	424062	474542	738260	694623	596890	722678		677220	659672	365777		696328		635481				656211	752873			682343	734237		628360	738263		609129		674213	615160	625803	615298		280280	276506				450283	302336	430909	391823			299497	373010	197883		266603		442703	423910	427888	418187	384987	
A0PK00	A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	367650	377899	508845	369152	450099	261737			68937.2		110451	341869	363840	459664	393773	333698	519594	68891.4	96589.9	161237		68900.4			322336		313173	418326	334214	475012				86673			536026	612261	567044	520825	488316	384267			113283	27477.1			226576	304229	315369	347830	282689	287186							307998	398938	363606	364642	462562	287255						
