PG.ProteinGroups	PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	Neurite_1	Neurite_2	Neurite_3	Neurite_4	Neurite_5	Neurite_6	 Soma_1	 Soma_2	 Soma_3	 Soma_4	 Soma_5
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial"	75422.21875	70676.96875	72927.67188	75166.76563	81062.35938	76833.0625	109969.7813	106664.8594	105180.6406	105047.1328	112711.8359
A0A0B4J2F0	A0A0B4J2F0	PIGBOS1	Protein PIGBOS1	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1.376755118	1409.052856	1261.353149	2771.300537
A0A1B0GUJ8	A0A1B0GUJ8	PNMA8C	Paraneoplastic antigen-like protein 8C	1	1	1	1	1	1	2999.002197	5276.048828	6487.469727	5946.491211	6574.943848
A0AVF1	A0AVF1	TTC26	Intraflagellar transport protein 56	8656.81543	9659.411133	9785.646484	10703.41504	4154.799805	10181.68359	10591.57422	10089.96387	10314.85352	11122.86523	11982.25488
A0AVT1	A0AVT1	UBA6	Ubiquitin-like modifier-activating enzyme 6	251322.0781	240802.7656	231366.5156	240161.75	235542.6875	252406.3125	198849.0156	207315.0469	195111.1563	209438.0469	221635
A0FGR8	A0FGR8	ESYT2	Extended synaptotagmin-2	111222.625	116808.2969	110007.9219	113381.2422	117089.7813	114040.7266	83745.32031	78246.19531	81967.125	87802.67188	77412.1875
A0JNW5	A0JNW5	UHRF1BP1L	UHRF1-binding protein 1-like	15970.62305	12963.33887	15631.23828	14128.69434	14150.9375	12924.2666	9073.962891	7917.083984	9649.332031	9316.638672	10038.46289
A0MZ66	A0MZ66	SHTN1	Shootin-1	167313.75	146552.4844	162736.4531	166717.3281	134731.4531	168450.5313	96405.52344	82984.52344	140739.6406	96142.57813	100637.4141
A0PK00	A0PK00	TMEM120B	Transmembrane protein 120B	19978.34375	18704.36523	17242.68359	18460.34961	19832.05078	18496.14063	19552.13867	19897.875	20127.20117	18749.65234	15200.64648
A1A5C7	A1A5C7	SLC22A23	Solute carrier family 22 member 23	22652.80469	22779.2832	23019.94531	22956.41602	22136.32422	19982.5918	8710.323242	9241.222656	9818.209961	9424.111328	6850.05957
A1L020	A1L020	MEX3A	RNA-binding protein MEX3A	8633.257813	8066.070801	2790.132813	4617.250977	3690.742188	2482.646973	27396.48047	30369.14844	31238.99609	30921.86523	31327.28125
A1L0T0	A1L0T0	ILVBL	2-hydroxyacyl-CoA lyase 2	79995.54688	74584.64844	82316.16406	77617.49219	81584.61719	78640.53906	68791.54688	63000.27734	66491.40625	72657.09375	65672.22656
A1X283	A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	58101.75	51518.73828	53329.19141	57712.94531	56174.70313	53952.34375	37520.55078	36370.85938	45684.10547	34383.10547	34484.85547
A2A2Y4	A2A2Y4	FRMD3	FERM domain-containing protein 3	5289.068359	2268.215576	2444.266113	2204.708496	2828.879395	1909.634888	5014.765137	5340.42334	7108.03125	6850.132813	6654.657227
A2A3K4	A2A3K4	PTPDC1	Protein tyrosine phosphatase domain-containing protein 1	7897.051758	7594.313965	7672.355957	9005.46582	8477.765625	7333.631836	5291.09375	6016.460449	6315.056152	5634.505371	5592.490234
A2AJT9	A2AJT9	BCLAF3	BCLAF1 and THRAP3 family member 3	Filtered	Filtered	1.140373349	Filtered	Filtered	Filtered	8282.211914	13026.44629	8452.166016	7924.126953	8351.78125
A2RRP1	A2RRP1	NBAS	Neuroblastoma-amplified sequence	95480.69531	73133.85938	35592.11719	74553.04688	72956.89844	73395.83594	53856.58984	63148.875	62108.55469	72745.17188	51301.40234
A2RTX5	A2RTX5	TARS3	"Threonine--tRNA ligase 2, cytoplasmic"	10836.49414	11917.44824	10097.93066	10867.76367	10503.83301	10995.00195	26473.1582	26699.60547	29168.81641	29439.9668	29524.25195
A2RU67	A2RU67	FAM234B	Protein FAM234B	Filtered	Filtered	Filtered	Filtered	Filtered	1107.634644	1339.11145	1665.409668	1901.887085	2625.938232	1728.690796
A2RUC4	A2RUC4	TYW5	tRNA wybutosine-synthesizing protein 5	Filtered	6341.655273	5947.797363	8852.786133	10161.51953	7755.927246	Filtered	4353.133789	5836.049316	Filtered	5509.759277
A3KMH1	A3KMH1	VWA8	von Willebrand factor A domain-containing protein 8	13633.62891	7787.785645	15630.56836	14841.71582	16183.90527	15284.54688	19540.81641	19036.85938	19669.0293	19288.47461	19947.76953
A3KN83	A3KN83	SBNO1	Protein strawberry notch homolog 1	1	1	1	1	1	1	5863.321289	6583.742676	11578.67969	9599.142578	14572.51855
A4D1E9	A4D1E9	GTPBP10	GTP-binding protein 10	8944.276367	10852.45313	9041.013672	10794.80566	6435.307617	10649.28809	36751.16016	27157.84375	35680.12109	30975.05469	32332.80078
