sample	gene	location	treatment	replicate
011023_VHR_52N_1	FUS	Neurite	KD	1
011023_VHR_52N_2	FUS	Neurite	KD	2
011023_VHR_52N_3	FUS	Neurite	KD	3
011023_VHR_52N_4	FUS	Neurite	KD	4
011023_VHR_52N_5	FUS	Neurite	KD	5
011023_VHR_52N_6	FUS	Neurite	KD	6
011023_VHR_1N_1	FUS	Neurite	NT	1
011023_VHR_1N_2	FUS	Neurite	NT	2
011023_VHR_1N_3	FUS	Neurite	NT	3
011023_VHR_1N_4	FUS	Neurite	NT	4
011023_VHR_1N_5	FUS	Neurite	NT	5
011023_VHR_1N_6	FUS	Neurite	NT	6
011023_VHR_52S_1	FUS	Soma	KD	1
011023_VHR_52S_2	FUS	Soma	KD	2
011023_VHR_52S_3	FUS	Soma	KD	3
011023_VHR_52S_4	FUS	Soma	KD	4
011023_VHR_52S_5	FUS	Soma	KD	5
011023_VHR_52S_6	FUS	Soma	KD	6
011023_VHR_1S_1	FUS	Soma	NT	1
011023_VHR_1S_2	FUS	Soma	NT	2
011023_VHR_1S_3	FUS	Soma	NT	3
011023_VHR_1S_4	FUS	Soma	NT	4
011323_VHR_1S_5	FUS	Soma	NT	5
011023_VHR_1S_6	FUS	Soma	NT	6
011323_VHR_8N_1	HNRNPA1	Neurite	KD	1
011323_VHR_8N_2	HNRNPA1	Neurite	KD	2
011323_VHR_8N_3	HNRNPA1	Neurite	KD	3
011323_VHR_8N_4	HNRNPA1	Neurite	KD	4
011323_VHR_8N_5	HNRNPA1	Neurite	KD	5
011323_VHR_8N_6	HNRNPA1	Neurite	KD	6
011323_VHR_6N_1	HNRNPA1	Neurite	NT	1
011323_VHR_6N_2	HNRNPA1	Neurite	NT	2
011323_VHR_6N_3	HNRNPA1	Neurite	NT	3
011323_VHR_6N_4	HNRNPA1	Neurite	NT	4
011323_VHR_6N_5	HNRNPA1	Neurite	NT	5
011323_VHR_6N_6	HNRNPA1	Neurite	NT	6
011323_VHR_8S_1	HNRNPA1	Soma	KD	1
011323_VHR_8S_2	HNRNPA1	Soma	KD	2
011323_VHR_8S_3	HNRNPA1	Soma	KD	3
011323_VHR_8S_4	HNRNPA1	Soma	KD	4
011323_VHR_8S_5	HNRNPA1	Soma	KD	5
011323_VHR_8S_6	HNRNPA1	Soma	KD	6
011323_VHR_6S_1	HNRNPA1	Soma	NT	1
011323_VHR_6S_2	HNRNPA1	Soma	NT	2
011323_VHR_6S_3	HNRNPA1	Soma	NT	3
011323_VHR_6S_4	HNRNPA1	Soma	NT	4
011323_VHR_6S_5	HNRNPA1	Soma	NT	5
011323_VHR_6S_6	HNRNPA1	Soma	NT	6
100822_VR_DIA_2N1	TDP43	Neurite	KD	1
100822_VR_DIA_2N2	TDP43	Neurite	KD	2
100822_VR_DIA_2N3	TDP43	Neurite	KD	3
100822_VR_DIA_2N4	TDP43	Neurite	KD	4
100822_VR_DIA_2N5	TDP43	Neurite	KD	5
100822_VR_DIA_2N6	TDP43	Neurite	KD	6
100822_VR_DIA_1N1	TDP43	Neurite	NT	1
100822_VR_DIA_1N2	TDP43	Neurite	NT	2
100822_VR_DIA_1N3	TDP43	Neurite	NT	3
100822_VR_DIA_1N4	TDP43	Neurite	NT	4
100822_VR_DIA_1N5	TDP43	Neurite	NT	5
100822_VR_DIA_1N6	TDP43	Neurite	NT	6
100822_VR_DIA_2S1	TDP43	Soma	KD	1
100822_VR_DIA_2S2	TDP43	Soma	KD	2
100822_VR_DIA_2S3	TDP43	Soma	KD	3
100822_VR_DIA_2S4	TDP43	Soma	KD	4
100822_VR_DIA_2S5	TDP43	Soma	KD	5
100822_VR_DIA_2S6	TDP43	Soma	KD	6
100822_VR_DIA_1S1	TDP43	Soma	NT	1
100822_VR_DIA_1S2	TDP43	Soma	NT	2
100822_VR_DIA_1S3	TDP43	Soma	NT	3
100822_VR_DIA_1S4	TDP43	Soma	NT	4
100822_VR_DIA_1S5	TDP43	Soma	NT	5
100822_VR_DIA_1S6	TDP43	Soma	NT	6
