sample_name,condition,control
FUS-Neurite-KD_1,FUS-Neurite-KD,FUS-Neurite-NT
FUS-Neurite-KD_2,FUS-Neurite-KD,FUS-Neurite-NT
FUS-Neurite-KD_3,FUS-Neurite-KD,FUS-Neurite-NT
FUS-Neurite-KD_4,FUS-Neurite-KD,FUS-Neurite-NT
FUS-Neurite-KD_5,FUS-Neurite-KD,FUS-Neurite-NT
FUS-Neurite-KD_6,FUS-Neurite-KD,FUS-Neurite-NT
FUS-Soma-KD_1,FUS-Soma-KD,FUS-Soma-NT
FUS-Soma-KD_2,FUS-Soma-KD,FUS-Soma-NT
FUS-Soma-KD_3,FUS-Soma-KD,FUS-Soma-NT
FUS-Soma-KD_4,FUS-Soma-KD,FUS-Soma-NT
FUS-Soma-KD_5,FUS-Soma-KD,FUS-Soma-NT
FUS-Soma-KD_6,FUS-Soma-KD,FUS-Soma-NT
HNRNPA1-Neurite-KD_1,HNRNPA1-Neurite-KD,HNRNPA1-Neurite-NT
HNRNPA1-Neurite-KD_2,HNRNPA1-Neurite-KD,HNRNPA1-Neurite-NT
HNRNPA1-Neurite-KD_3,HNRNPA1-Neurite-KD,HNRNPA1-Neurite-NT
HNRNPA1-Neurite-KD_4,HNRNPA1-Neurite-KD,HNRNPA1-Neurite-NT
HNRNPA1-Neurite-KD_5,HNRNPA1-Neurite-KD,HNRNPA1-Neurite-NT
HNRNPA1-Neurite-KD_6,HNRNPA1-Neurite-KD,HNRNPA1-Neurite-NT
HNRNPA1-Soma-KD_1,HNRNPA1-Soma-KD,HNRNPA1-Soma-NT
HNRNPA1-Soma-KD_2,HNRNPA1-Soma-KD,HNRNPA1-Soma-NT
HNRNPA1-Soma-KD_3,HNRNPA1-Soma-KD,HNRNPA1-Soma-NT
HNRNPA1-Soma-KD_4,HNRNPA1-Soma-KD,HNRNPA1-Soma-NT
HNRNPA1-Soma-KD_5,HNRNPA1-Soma-KD,HNRNPA1-Soma-NT
HNRNPA1-Soma-KD_6,HNRNPA1-Soma-KD,HNRNPA1-Soma-NT
TDP43-Neurite-KD_1,TDP43-Neurite-KD,TDP43-Neurite-NT
TDP43-Neurite-KD_2,TDP43-Neurite-KD,TDP43-Neurite-NT
TDP43-Neurite-KD_3,TDP43-Neurite-KD,TDP43-Neurite-NT
TDP43-Neurite-KD_4,TDP43-Neurite-KD,TDP43-Neurite-NT
TDP43-Neurite-KD_5,TDP43-Neurite-KD,TDP43-Neurite-NT
TDP43-Neurite-KD_6,TDP43-Neurite-KD,TDP43-Neurite-NT
TDP43-Soma-KD_1,TDP43-Soma-KD,TDP43-Soma-NT
TDP43-Soma-KD_2,TDP43-Soma-KD,TDP43-Soma-NT
TDP43-Soma-KD_3,TDP43-Soma-KD,TDP43-Soma-NT
TDP43-Soma-KD_4,TDP43-Soma-KD,TDP43-Soma-NT
TDP43-Soma-KD_5,TDP43-Soma-KD,TDP43-Soma-NT
TDP43-Soma-KD_6,TDP43-Soma-KD,TDP43-Soma-NT
