,ctrlNeurite_FUS_VR_8153_S1,ctrlNeurite_FUS_VR_8153_S2,ctrlNeurite_FUS_VR_8153_S3,ctrlNeurite_FUS_VR_8153_S4,ctrlNeurite_FUS_VR_8153_S5,ctrlNeurite_FUS_VR_8153_S6,ctrlSoma_FUS_VR_8153_S7,ctrlSoma_FUS_VR_8153_S8,ctrlSoma_FUS_VR_8153_S9,ctrlSoma_FUS_VR_8153_S10,ctrlSoma_FUS_VR_8153_S11,ctrlSoma_FUS_VR_8153_S12
SNORA10,3.47620052594593,6.57297397296535,3.84185892659719,4.36918676591739,2.43678489021305,1.19453996997016,17.0617718811481,10.2895866235499,13.2902192982638,13.5974468994379,15.538028893217,12.2716942714547
SNORA10B,0.34324698847904,1.08727412681621,0.463392151154895,0.315105597968607,0.625579643886351,0.445101171195481,3.16150867433139,3.0373762440353,2.13748661297299,2.45114968239901,3.5138641761545,2.48032584576982
SNORA11,1.87398415392291,2.96372169032591,1.59638696914467,0.819658868263655,0.808256171382668,0.729368313983545,2.93640107014493,3.60515284792603,4.43378232635182,3.35957730262447,5.03690515152786,5.9983348375318
SNORA11E,5.52835736430336,8.60732136181789,3.65945106226929,3.26002921674504,3.87417389347997,2.24317224965639,9.65137935069164,9.99250729888797,20.9558458402782,7.32958198816534,13.1958520128111,22.2027416905739
SNORA12,1.61789474617464,1.74956233047245,1.06425654973907,1.06450528932997,1.21118816275137,0.24288291522217,3.7844083642989,5.73899442390788,4.80588082717618,3.06106383592645,3.66635288554272,4.28398735724939
SNORA14A,0.305509423233672,1.05417975416845,0.136070130349907,0,0.0988254928252454,0,2.12760769127405,1.66511777243559,2.92139157066393,1.40410966658461,1.90585199783287,1.57601174541524
SNORA14B,8.80615056911303,11.6598149087692,11.355995014748,5.50420475124029,6.16091161297682,5.0215660417694,34.3936910213524,28.3106287877093,36.6320321244622,21.1775925473463,37.9846757539344,22.4391810745078
SNORA16A,0,0,0,0,1.32382241753538,0,6.73474334481618,5.11946672294169,6.55141436980285,3.78248846506245,7.98527858481622,5.73184776181074
SNORA17B,7.71760164818047,6.42533381108375,5.29093808973339,6.21881780877971,3.47765805278927,3.00093050948887,10.1682341922983,9.65785888266521,13.6582590768623,12.8391464984079,9.97284668727193,13.9359093420274
SNORA18,2.19311680751968,3.20386355702516,1.22862814302021,1.5187407774944,0.727344762757647,0.476404024820271,14.948915853973,13.4044526679707,21.2533425346532,10.3794936760212,18.6680871191598,22.1835587363226
SNORA20,6.34353273134368,6.72810379954859,3.48064078166901,2.37431907116506,3.12844610120559,1.94277973838502,18.6152556074552,16.682309596785,17.4097988799555,12.0620530139964,15.2596390182962,18.1836281040911
SNORA21,2.26100145319466,4.32374862574191,2.94073984811243,0.395774427241789,1.66059937404316,1.36638127475292,2.53285400957547,1.23658554993209,2.58335937624081,0.779626157308499,1.23554300946314,0.823262200245362
SNORA22,1.35335162021917,2.01520957069583,1.61355855156786,0.737648625097493,0.707181625663823,0.486216305462098,14.7743693902096,12.1165219232311,16.1326286926572,11.1002228729681,16.2204134207039,14.5743348105346
SNORA23,2.53815024834844,3.81718754585393,1.50936011062695,1.9538770090522,1.12466312675018,0.73810410618971,17.0241583084044,18.5317039895969,22.7474762372191,12.9743411748512,20.4896793399643,20.0341989235738
SNORA24,2.49578888528188,5.9498416610543,3.77797923508369,4.04195223791351,2.59823575586048,3.00325182678926,15.0472206708978,11.5111490828367,13.2727405635528,10.5997179868095,16.1281195373174,10.3707491293503
SNORA26,0.665089255086334,0.613564634718351,0.622156548771522,0.185883715618896,0,0,3.30774952981012,3.04015032824325,3.79032000396908,2.25782355736445,3.78975948550792,2.90692779397069
SNORA27,4.4417870460949,3.96280956487614,3.18096446083468,2.64109117640984,2.28857049095949,1.41604354860494,1.57596194625247,3.29434727468724,3.17081262530199,2.97160726692917,4.50976888382122,2.61789842337369
SNORA2A,0.614382597845095,0.794987380143356,0.957734519316098,0.250191125056377,0.596217252868724,0.597805481163023,1.89247582174906,1.75038833902504,1.98711495014771,1.41183950315642,0.889731143785851,0.824037723075143
SNORA2C,23.1319593996592,24.6106429812832,16.5661860335958,22.3316769472693,15.9271201236407,12.2442533678631,22.8811534434934,11.6638177872209,18.5204548459953,12.7729937349653,19.1504539730246,16.781929243142
SNORA31,0.256418651510198,0.381310433082371,0.253214999433362,0.278510972483489,0.413671137919048,0.241643440248124,11.5527118273116,6.6265900477749,8.92917848708525,5.67243715093733,9.3348175029078,10.5013151885912
