,KDNeurite_hnRNP1_VR_8147_S13,KDNeurite_hnRNP1_VR_8147_S14,KDNeurite_hnRNP1_VR_8147_S15,KDNeurite_hnRNP1_VR_8147_S16,KDNeurite_hnRNP1_VR_8147_S17,KDNeurite_hnRNP1_VR_8147_S18,KDSoma_hnRNP1_VR_8147_S19,KDSoma_hnRNP1_VR_8147_S20,KDSoma_hnRNP1_VR_8147_S21,KDSoma_hnRNP1_VR_8147_S22,KDSoma_hnRNP1_VR_8147_S23,KDSoma_hnRNP1_VR_8147_S24
SNORA10,7.66881707572057,6.54575906964463,4.2858153114822,8.30493982224441,10.9525013087041,6.02651842938333,24.0162961249499,13.1046979380789,16.1446066795091,15.7680398671809,14.0962880861923,12.8670766731913
SNORA10B,0.82708906287446,1.8718686557195,1.55989082517058,0.755826376722745,1.24085214290272,1.88852268979727,3.22930178812577,2.93720579133246,3.78741509016516,1.93598446223937,2.99089132899016,2.48855445600927
SNORA11,1.36763144920268,1.59217105812823,1.85614071594344,1.32899517006568,1.92930179269256,1.32475365248598,12.4444040670768,8.29043179460623,10.8235364430335,5.67002827075129,6.75663389321694,5.33245077340351
SNORA11E,6.54457236158456,3.44638693624007,2.63015139449186,2.81228667937598,4.25060263144583,3.38018254174311,20.7645798003094,17.326639744336,17.8379043215604,14.8017438014693,15.561837815711,12.8795688194653
SNORA12,0.614407852267903,0.657428471472625,0.324603542843776,1.20902730329562,0.877994355295002,1.73718005884709,1.94720547795295,2.80780312935689,3.34237089700673,2.69985850980417,2.23010076449214,3.51354851904813
SNORA14B,8.02629108045871,7.35813630697334,5.94128240894039,5.9396529698973,8.69603733992893,8.1026148679129,33.7700799402635,14.7694465020699,24.551935018196,22.4412551155992,18.8823880887431,17.4999886280173
SNORA16A,7.16499540868327,4.38914210120258,2.87086409928754,0,7.66254668462272,5.12158537714625,2.1760762566446,4.36622621302583,8.57363052060295,7.33426068239,7.46494975848225,5.70623731924276
SNORA17B,11.4437509643075,4.16601235449155,6.06932905432337,6.12414659926583,9.7397394729267,6.62217886566378,11.9221128600803,11.6139723765281,13.9006958320758,11.036212761403,13.5843244392752,12.3960691361299
SNORA18,2.47367101618805,2.04634492663657,3.0317621971217,3.81593374846548,2.83829371771198,1.89446510282913,28.6926221647771,17.6172839802157,27.5829939175636,21.7409015772558,22.722497811735,21.3188972574522
SNORA20,5.64288847429002,3.44322560120172,2.72449262314095,2.13410880975099,5.09129432748709,4.13641229968227,18.522594780712,10.2401427281165,14.9961270358963,13.3884767371944,13.9128967833488,16.036733242535
SNORA21,5.74415544582863,1.96396291022391,2.32279343078505,1.07479054931084,4.08725597373196,2.99461477595926,5.72195639708159,0.754749719775823,1.9965369973686,3.16496895828906,2.11140694620329,1.42872020111708
SNORA22,2.43138751217541,0.921411475237789,1.62480157949532,1.99352777655577,2.09666574076091,0.588789744715393,14.8092872706846,9.22450043346333,14.7015177834562,12.6580700990416,11.9406774395544,10.1541607343452
SNORA23,2.31376936059058,1.84470597269593,2.06885944068103,3.49751765630925,3.62294262795042,2.30820761451384,29.8771457051367,21.8130875812582,27.2030084273754,24.5797869831191,20.6290306093261,21.0964245214565
SNORA24,3.52143222585419,6.3300792032777,6.48882491667643,7.16653157148448,8.05722522659643,5.03518886864865,20.3227653518339,12.8075813997456,22.524974064491,16.1177230415222,11.295533241358,12.3865784023147
SNORA26,0.398678629227404,0.175138053491486,0.275341538921707,0.353992246278959,0,0.809650020583334,4.69466067722618,2.33224348347082,3.81467767856241,2.6895406389146,3.06317098637705,2.12310376454289
SNORA27,6.15090493641342,1.73832989430254,0.972774167050713,3.58591850310462,1.53562454664099,3.17443874544664,5.72378411860851,3.50779918291842,8.67812938971081,3.51970890558969,4.4961349300024,4.15298235644241
SNORA2C,22.8305571017043,17.1397715037511,17.4432443664185,15.6498297000679,18.9569955191591,21.4216632224515,26.7625347178519,15.8904860847331,24.732318952396,18.5641869346393,14.2578493417733,16.3104905969815
SNORA31,0.710225501467362,0.859609465425259,0.959644889503225,0.490202941564655,0.266987848855696,0.414092209993416,18.4624867318344,8.72122722291741,16.7374849078652,11.7209957230391,6.69075632034688,7.42969099681188
SNORA31B,8.97957680507189,7.14727933860095,5.66270686776066,7.29431403438433,10.5392241422492,8.99770258770665,13.1970617166476,11.6792697426757,15.9296217833304,15.1121482520344,14.5641819644117,12.3864297097553
SNORA33,0.151483756955196,0.254008637240551,0,0,0.349205300651268,0.293468917281315,2.60423949120818,1.6908291165479,1.57692351906152,1.27060306505668,1.5053309493094,1.22271814412064
SNORA35B,0.413129070701583,0.239679885760625,0.208114739694945,0,0.169860424578186,0,5.18824921671669,3.04141512982109,3.52405282095345,2.9976348188385,3.83390855352826,4.13832682509297
SNORA37,5.0808441326511,2.58523780495847,4.09316321745098,3.5010000195776,5.15348294600263,3.59528829016205,6.38090863881378,4.67242713394543,8.30544416064957,6.35754773071378,6.7759689714562,6.49907006774304
SNORA38B,4.00180243333226,2.32277542420595,2.09523254506734,1.21149503453033,4.78994828187911,2.87897816898633,6.1577702978078,4.00860008771919,6.00839016689899,3.46531487050505,4.10182898844806,4.81409096344469
SNORA44,0,0,0,0.574057276795265,0.90138114120626,0,3.54601368681953,2.49769010091518,1.51796816270808,2.24740908499975,2.23855576642619,2.13280012004317
SNORA47,0.729398449309924,1.05916847808816,0.327912510082548,1.65723652517187,0.854710606365149,0.830309952858384,5.83738369523305,3.67598688692898,3.84512726739671,3.79272353614851,7.01077982352202,5.48270084136848
SNORA48,16.6162747575681,15.75777162666,14.7430722502889,16.7842443639132,19.4175414994621,17.718682441511,36.0873454256758,26.1864859556003,36.9586872685237,31.339179073356,32.6802954786159,29.9846186730498
SNORA49,64.0480990980633,44.783060481349,44.679611748375,46.6567498038096,55.4766515882154,44.1794902238484,66.5160218892567,60.667472389664,68.0420994795352,62.8902861770352,64.0566098683161,58.4382165961934
SNORA51,0.599342847414145,0,0,0.200683746836186,0.174931847969337,0.294397733928441,4.6863356229232,2.75563081081187,2.9141439784192,2.78941732385522,2.33601685418126,1.92762216368111
SNORA52,0.865272106574979,1.04417097617717,0,0.533962974177283,0,0,2.11444459477587,1.99475971760297,1.99149004381569,2.01706883726251,1.79990842894542,2.77774363540403
SNORA53,2.82559853538417,3.16767550872215,2.45255800828376,1.45694127945556,4.07341251194646,1.8689083513555,33.5167509107862,26.3713497872243,31.4146155409817,19.6789298080112,21.9022148598801,17.0633677201308
SNORA54,5.07212291204136,1.68562413695894,3.01189484648729,4.83921773495421,3.74342405422923,3.57316538085643,9.28105647510403,6.45679704640983,7.99347692749329,6.97911759233071,9.70540277056828,6.57303035514462
SNORA57,5.16774370282029,2.35812658289738,3.19249712575669,2.58967537651317,3.76786719463991,1.3367101525319,4.16732651124871,2.52269460840439,3.66948462583175,3.42744099761884,4.39523203039635,4.11454493775222
SNORA5A,1.36765547559866,1.05304168598604,0.866560842397506,0.531607407081536,1.22305501544386,1.17757948943079,9.74672829650096,9.4996199833134,10.9516087289031,7.03285092302506,7.99071735227024,7.00558376245521
SNORA61,8.28621552239141,4.09838845569871,2.94702796763549,5.2201026260669,5.83611302902726,4.9493173437942,11.7303385848535,3.85199173416308,8.1935973780451,7.54839584664931,5.90118458930241,4.91450826432782
SNORA62,12.0706656260344,5.12132731831812,8.07664726798219,6.31409196039976,14.0978362009558,11.1724401261727,20.4226061546186,12.7620508050794,18.0834599801535,13.4288907454347,11.9690733765972,15.930439623212
SNORA63,4.4739824258878,7.00815710814897,8.67092813195338,6.88413002623653,8.32354246763738,6.46749988990718,19.4129512948566,10.8228366953846,17.1405769247884,14.4628103907693,9.85443661694122,11.787550763538
SNORA63D,0.915062995830815,0.927022277246618,0.54489852462819,1.0670544048755,1.40449498689299,1.03410307492057,3.92243183591548,2.35523282746678,2.44673651638308,2.47686819638096,2.06909747034418,2.44369268457676
SNORA64,0,0.535258352719978,0.21628955935854,0,0,0,6.80279060274645,3.4466452023794,6.29390005586469,6.00976928932123,4.75584758817876,2.12233994952505
SNORA67,0,0,0.654939948393738,0.300900181191107,1.65092934301643,0.975418876293052,9.04152875160621,7.85730753827864,7.88927174904804,8.89909224792733,7.74922191220122,9.89730350974893
