,JR_7961_S1,JR_7961_S2,JR_7961_S3,JR_7961_S4,JR_7961_S5,JR_7961_S6,JR_7961_S7,JR_7961_S8,JR_7961_S9,JR_7961_S10
SNORA10,1.51574565011201,2.27712670406193,2.59197684941705,3.04901504538499,2.67869258466107,11.3795785458949,8.65784591280414,6.53896886695339,9.50159962817026,8.3101964493421
SNORA10B,0.248252035294484,0.412621800689432,1.45865054809726,0.787917809244847,0.716283387901081,2.11174813495755,1.93186785050158,1.11387248501323,1.7609609725324,1.71419168548711
SNORA11,0.8697241845748,1.11106282448082,1.76469666923529,1.00193520605722,1.70827323829866,2.92611481677779,3.57285237018832,3.82615673029074,3.8467849034987,3.81274092156736
SNORA11E,1.04580988102102,0.921719201475551,3.89815801664174,2.51724659731038,3.77549739079482,9.48468937946538,14.2049464533947,9.84614391629704,14.3572163836511,9.98982685954927
SNORA12,0.544552921340216,1.396103079283,1.62172911721751,1.26860687649211,1.93312891169404,1.8358937381443,2.59916005625737,3.08956869798636,1.90802663903914,2.55426787099845
SNORA14A,0.275796753020849,0.181301724329892,0.280584828379637,0.159551682214162,0.0710088396644904,1.34696929524365,1.24043730060527,1.78092441302572,1.69592673359318,1.19753699295322
SNORA14B,1.79267889463552,1.35976293247419,5.16276084218531,5.02587798974611,4.97061877651433,24.6302956844553,16.3619586794123,11.2382471580589,15.6343245753121,25.2480716014304
SNORA16A,1.07271990476948,0,1.13184296691336,1.89857715166631,0,6.99233592646814,4.93283817048281,2.80582510910978,5.12201667988764,5.04699984755505
SNORA17B,2.44002791583902,2.27945824558146,7.04290071258321,5.51123560108671,3.39441957613685,6.17856015104412,9.35507891329282,7.09001682523428,9.22322980773705,6.76097345158757
SNORA18,1.16698680175329,1.42844454483872,2.17094530551673,1.86789407436478,2.38771123042848,12.9146103299558,13.2841498941512,9.9135684684176,12.1658348504696,11.8305221366742
SNORA20,1.30837376048594,1.90125470111919,3.1640414358257,3.10089338940092,2.96166651050916,8.10825888016871,8.99033842243792,8.70933309931247,8.85718011673491,5.38443689674617
SNORA21,0,0,0,0.517864334146129,0,1.64676791450622,1.69658359634226,0.807275056774189,0.244244355792578,1.52297918469013
SNORA22,0.809445357154535,0.743262881653438,1.95144081912329,1.24872988996296,0.41681256181437,13.8025473267548,12.4180256239635,7.30106134470009,14.2533995477196,10.7266460235614
SNORA22C,0,0,0,0.321667824069206,0.0715794989672888,0.756485313579711,0.873699847505792,0.972788376339928,1.55430691981402,1.0693434032508
SNORA23,0.84969037009224,1.0517119032743,4.33141244948666,2.00288987424749,3.36862765129418,14.2253119044156,17.4311136906903,18.8034785100859,12.9486846183001,13.3826061203976
SNORA24,1.70212102475456,2.52510530544375,3.09231556123079,3.13481551508957,1.98535734065191,10.659337235844,7.88493583304554,6.7545127418199,7.17185121152762,10.0235988427724
SNORA26,0.110762573142579,0.238598284837519,0.184192784461283,0,0.101398071900249,2.10791759649572,2.90118512424043,1.08613312793032,1.71071558034449,1.94657056379168
SNORA27,0.42289355787241,0.597293851741284,2.00388671030971,1.6856109250505,0.891857455637791,3.60434888197284,4.64155087352704,2.37253081158211,3.00525934935237,2.06141935396654
SNORA2A,0.206847564765637,0.543905172989676,1.2345732448704,0.558430887749567,0.568070717315924,1.20265115646754,1.3585741863772,1.10540135980907,1.16594962934531,1.49692124119153
